,author,tags,text
0,"{'goodreads_link': '/author/show/9810.Albert_Einstein', 'name': 'Albert Einstein', 'slug': 'Albert-Einstein'}","['change', 'deep-thoughts', 'thinking', 'world']",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
1,"{'goodreads_link': '/author/show/1077326.J_K_Rowling', 'name': 'J.K. Rowling', 'slug': 'J-K-Rowling'}","['abilities', 'choices']","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
2,"{'goodreads_link': '/author/show/9810.Albert_Einstein', 'name': 'Albert Einstein', 'slug': 'Albert-Einstein'}","['inspirational', 'life', 'live', 'miracle', 'miracles']",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
3,"{'goodreads_link': '/author/show/1265.Jane_Austen', 'name': 'Jane Austen', 'slug': 'Jane-Austen'}","['aliteracy', 'books', 'classic', 'humor']","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
4,"{'goodreads_link': '/author/show/82952.Marilyn_Monroe', 'name': 'Marilyn Monroe', 'slug': 'Marilyn-Monroe'}","['be-yourself', 'inspirational']","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
5,"{'goodreads_link': '/author/show/9810.Albert_Einstein', 'name': 'Albert Einstein', 'slug': 'Albert-Einstein'}","['adulthood', 'success', 'value']",“Try not to become a man of success. Rather become a man of value.”
6,"{'goodreads_link': '/author/show/7617.Andr_Gide', 'name': 'André Gide', 'slug': 'Andre-Gide'}","['life', 'love']",“It is better to be hated for what you are than to be loved for what you are not.”
7,"{'goodreads_link': '/author/show/3091287.Thomas_A_Edison', 'name': 'Thomas A. Edison', 'slug': 'Thomas-A-Edison'}","['edison', 'failure', 'inspirational', 'paraphrased']","“I have not failed. I've just found 10,000 ways that won't work.”"
8,"{'goodreads_link': '/author/show/44566.Eleanor_Roosevelt', 'name': 'Eleanor Roosevelt', 'slug': 'Eleanor-Roosevelt'}",['misattributed-eleanor-roosevelt'],“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
9,"{'goodreads_link': '/author/show/7103.Steve_Martin', 'name': 'Steve Martin', 'slug': 'Steve-Martin'}","['humor', 'obvious', 'simile']","“A day without sunshine is like, you know, night.”"
10,"{'goodreads_link': '/author/show/82952.Marilyn_Monroe', 'name': 'Marilyn Monroe', 'slug': 'Marilyn-Monroe'}","['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
